Provinsi,2020,2015,2010,2005
Aceh,91,86,78,72
Bali,747,718,676,625
Banten,1232,1237,1106,1006
Bengkulu,101,94,86,79
Di Yogyakarta,1171,1174,1107,1074
Dki Jakarta,15907,15328,14518,12012
Gorontalo,104,101,93,77
Jambi,71,68,62,58
Jawa Barat,1365,1320,1222,1060
Jawa Tengah,1113,1030,989,972
Jawa Timur,851,813,786,781
Kalimantan Barat,37,33,30,34
Kalimantan Selatan,105,103,94,85
Kalimantan Tengah,17,16,14,13
Kalimantan Timur,29,27,17,15
Kalimantan Utara,9,9,0,0
Kepulauan Bangka Belitung,89,84,75,65
Kepulauan Riau,252,241,206,158
Lampung,260,234,220,188
Maluku,39,36,33,27
Maluku Utara,40,36,33,23
Nusa Tenggara Barat,286,260,243,211
Nusa Tenggara Timur,109,105,97,93
Papua,13,10,9,6
Papua Barat,11,9,8,6
Riau,73,73,64,55
Sulawesi Barat,85,76,69,59
Sulawesi Selatan,194,182,173,162
Sulawesi Tengah,48,47,43,34
Sulawesi Tenggara,69,66,59,53
Sulawesi Utara,189,174,164,154
Sumatera Barat,132,124,116,108
Sumatera Selatan,92,88,82,113
Sumatera Utara,203,191,179,171
Indonesia,141,134,124,118
